cancer_type,parameter_name,definition
CRC,APC_PDL1_base,"Baseline number of PD-L1 checkpoint ligands per antigen-presenting cell surface, provides inhibitory signals during T cell priming in lymph nodes"
CRC,A_cell,"Total surface area of cancer cell membrane, used to calculate checkpoint molecule densities (PD-L1, CD80, CD86) and normalize expression levels"
CRC,N_IL2_CD4,Maximum additional CD4+ T cell divisions enabled by IL-2 signaling beyond baseline
CRC,N_IL2_CD8,Maximum additional CD8+ T cell divisions enabled by IL-2 signaling beyond baseline
CRC,TGFbase,"Baseline TGF-β concentration in pancreatic tumor microenvironment, maintained by cancer cells and stromal components"
CRC,T_PD1_total,"Total number of PD-1 checkpoint receptors per T cell surface, determines maximum binding capacity for PD-L1/PD-L2 and anti-PD-1 antibodies"
CRC,T_PDL1_total,"Total number of PD-L1 molecules per activated T cell surface, enables reverse checkpoint signaling and T cell fratricide"
CRC,Ve_T,"Cellular volume fraction of tumor tissue, used as denominator in tumor volume calculation V_T = (cells*vol_cell)/Ve_T"
CRC,chemo_sens_PDL1_base,"Baseline number of PD-L1 checkpoint ligands per chemotherapy-sensitive cancer cell surface, enhanced by IFN-γ (r_PDL1_IFNg fold) for adaptive immune resistance"
CRC,gamma_T_aPDL1,"Volume fraction of tumor interstitial space accessible to anti-PD-L1 antibody, determines intratumoral drug penetration for cancer cell checkpoint inhibition"
CRC,initial_tumour_diameter,"Initial tumor diameter used to calculate starting cancer cell number from volume, varied in PSA (1.43-3.03 cm)"
CRC,k_ArgI_sec,"Rate of arginase I secretion by MDSCs, depletes L-arginine and suppresses T cell proliferation and function"
CRC,k_CCL2_sec,"Rate of CCL2 (MCP-1) secretion by cancer cells and MDSCs, promotes MDSC recruitment to tumor microenvironment"
CRC,k_IFNg_Thsec,IFNg secretion rate by T helper cell estimated assuming IFNg secretion is 3 times lower in CD4 than CD8 T cells
CRC,k_P1_d1,"Dissociation constant for tumor antigen P1-MHC class I binding, determines stability and presentation strength of P1 epitopes to CD8+ T cells"
CRC,k_chemo_sens_growth,"Intrinsic growth rate of chemotherapy-sensitive cancer clone, used in Gompertzian/logistic growth models"
CRC,n_CD8_clones,"Number of CD8+ T cell clones recognizing tumor-specific antigens (P1), determines the fraction of CD8+ repertoire available for anti-tumor responses"
CRC,n_Treg_clones,"Number of regulatory T cell clones recognizing self-antigens (P0), determines the fraction of Treg repertoire that can be activated by tissue-specific antigens in lymph nodes"
CRC,q_CD8_T_in,"Rate of activated CD8+ T cell infiltration into tumor tissue, depends on tumor vasculature, chemokine gradients, and cancer cell density for recruitment"
CRC,q_P_aPDL1,"Capillary filtration rate of anti-PD-L1 antibody from central to peripheral compartment, determines systemic drug distribution for checkpoint blockade"
CRC,q_T_aPDL1,"Capillary filtration rate of anti-PD-L1 antibody from central to tumor compartment, determines tumor penetration for cancer cell checkpoint inhibition"
CRC,q_Treg_T_in,"Rate of activated regulatory T cell infiltration into tumor tissue, depends on tumor vasculature density and adhesion molecule expression"
CRC,r_PDL2APC,"Ratio of PD-L2 to PD-L1 checkpoint ligands on antigen-presenting cells, determines relative contribution of PD-L2 pathway to T cell priming inhibition"
CRC,vol_cell,"Average cancer cell volume calculated from diameter, used in tumor volume equation V_T and initial conditions"
HCC,A_cell,"Total surface area of cancer cell membrane, used to calculate checkpoint molecule densities (PD-L1, CD80, CD86) and normalize expression levels"
HCC,C_CD47,"CD47 surface density on cancer cells, provides 'don't eat me' signal to inhibit macrophage phagocytosis"
HCC,ECM_base,Baseline extracellular matrix concentration in normal pancreatic tissue
HCC,ECM_density,"Physical density of extracellular matrix components, used in tumor volume calculations for desmoplastic contribution"
